"freq
References : ['horn_gain_smooth','(horn_gain_120cm+horn_gain_240cm)*0.5']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","horn_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","(horn_gain_120cm+horn_gain_240cm)*0.5
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
126.85,21.06878,21.21661
126.90,21.06925,21.20847
126.95,21.06972,21.2071
127.00,21.07018,21.21063
127.05,21.07064,21.2155
127.10,21.0711,21.22126
127.15,21.07156,21.21991
127.20,21.07201,21.21763
127.25,21.07246,21.21266
127.30,21.07291,21.20485
127.35,21.07336,21.20208
127.40,21.07381,21.20009
127.45,21.07426,21.20113
127.50,21.0747,21.20877
127.55,21.07514,21.21432
127.60,21.07558,21.21597
127.65,21.07601,21.21469
127.70,21.07645,21.21482
127.75,21.07688,21.21984
127.80,21.0773,21.2222
127.85,21.07773,21.22299
127.90,21.07815,21.22397
127.95,21.07856,21.22299
128.00,21.07898,21.22324
128.05,21.07939,21.22384
128.10,21.07979,21.22858
128.15,21.08019,21.23388
128.20,21.08059,21.23352
128.25,21.08099,21.23326
128.30,21.08138,21.22924
128.35,21.08177,21.22122
128.40,21.08215,21.21477
128.45,21.08253,21.20776
128.50,21.08291,21.20159
128.55,21.08328,21.19249
128.60,21.08366,21.18817
128.65,21.08402,21.18951
128.70,21.08439,21.19079
128.75,21.08475,21.19301
128.80,21.08511,21.19077
128.85,21.08547,21.18538
128.90,21.08582,21.17548
128.95,21.08617,21.16658
129.00,21.08652,21.16802
129.05,21.08686,21.17038
129.10,21.0872,21.17104
129.15,21.08754,21.17102
129.20,21.08788,21.16597
129.25,21.08822,21.15936
129.30,21.08855,21.15423
129.35,21.08888,21.15195
129.40,21.08921,21.15199
129.45,21.08954,21.14895
129.50,21.08987,21.14682
129.55,21.0902,21.14502
129.60,21.09052,21.14021
129.65,21.09084,21.13222
129.70,21.09117,21.12206
129.75,21.09149,21.11446
129.80,21.0918,21.10673
129.85,21.09212,21.09926
129.90,21.09244,21.09862
129.95,21.09276,21.09643
130.00,21.09307,21.09319
130.05,21.09339,21.09433
