"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
140,0,34,4.42984615173371
140,0,36,4.39381716464803
140,0,38,4.17416572209595
140,0,40,3.79115338289033
140,0,42,3.28422852089173
140,0,44,2.70822940657089
140,0,46,2.13408073335725
140,0,48,1.6407451213762
140,0,50,1.28783181427092
140,0,52,1.08954263665637
140,0,54,1.02559626873224
140,0,56,1.07672991078509
140,0,58,1.23402915006904
140,0,60,1.47103972049112
140,0,62,1.72236847927976
140,0,64,1.90070963701978
140,0,66,1.93203370076618
140,0,68,1.77782198054968
140,0,70,1.43886739678755
140,0,72,0.948847660037032
140,0,74,0.362427641470155
140,0,76,-0.261948626549019
140,0,78,-0.881940575470314
140,0,80,-1.48458902648121
140,0,82,-2.08395077692392
140,0,84,-2.70498450675548
140,0,86,-3.36434127068669
140,0,88,-4.05613419951729
140,0,90,-4.74451369638117
140,0,92,-5.3640560718345
140,0,94,-5.83267270684742
140,0,96,-6.08068737156325
140,0,98,-6.08541982793149
140,0,100,-5.88651049052867
140,0,102,-5.57121788350761
140,0,104,-5.24727579383678
140,0,106,-5.02401942437941
140,0,108,-5.00600670665729
140,0,110,-5.29370128857611
140,0,112,-5.98538211215539
140,0,114,-7.17275638977272
140,0,116,-8.90655669522012
140,0,118,-11.0492832869308
140,0,120,-12.9024961407155
140,0,122,-13.4127151675508
140,0,124,-12.895263676833
140,0,126,-12.4425382646367
140,0,128,-12.5158856249402
140,0,130,-13.2014749114218
140,0,132,-14.6329537252865
140,0,134,-17.2889553847038
140,0,136,-22.1785236387722
140,0,138,-23.5068994683011
140,0,140,-17.3532320950029
140,0,142,-13.8414451431904
140,0,144,-12.5217813422139
140,0,146,-13.1886121774935
140,0,148,-16.4787101271257
140,0,150,-22.8790215679259
140,0,152,-16.982370033814
140,0,154,-12.0424321274045
140,0,156,-10.1083094764094
140,0,158,-10.3705113184912
140,0,160,-13.1265022580069
140,0,162,-21.2679681519409
140,0,164,-23.680801731789
140,0,166,-14.5839221496557
140,0,168,-12.2070314956214
140,0,170,-12.9503773258866
140,0,172,-17.0463313091788
140,0,174,-20.4237281349269
140,0,176,-13.8711520249619
140,0,178,-10.4221404462468
140,0,180,-9.54760185698128
140,90.0000000000002,-180,-9.54760185698128
140,90.0000000000002,-178,-9.58969996114353
140,90.0000000000002,-176,-9.79424229538163
140,90.0000000000002,-174,-10.1390058828858
140,90.0000000000002,-172,-10.5880651801477
140,90.0000000000002,-170,-11.0910928887786
140,90.0000000000002,-168,-11.567423959365
140,90.0000000000002,-166,-11.9069860678224
140,90.0000000000002,-164,-12.0437541905044
140,90.0000000000002,-162,-12.0579432087613
140,90.0000000000002,-160,-12.1605273295566
140,90.0000000000002,-158,-12.5737081242901
140,90.0000000000002,-156,-13.4459328378054
140,90.0000000000002,-154,-14.8159188065371
140,90.0000000000002,-152,-16.5502410377682
140,90.0000000000002,-150,-18.2482977354674
140,90.0000000000002,-148,-19.4183483450784
140,90.0000000000002,-146,-20.0902270701442
140,90.0000000000002,-144,-20.7861864692014
140,90.0000000000002,-142,-21.8614867594973
