Freq(Hz),S12(DB)
1.441E+11,-12.856567
1.442E+11,-12.895459
1.443E+11,-12.914312
1.444E+11,-12.883805
1.445E+11,-12.977023
1.446E+11,-13.157845
1.447E+11,-13.086857
1.448E+11,-13.00874
1.449E+11,-13.02889
1.45E+11,-13.105493
1.451E+11,-13.126658
1.452E+11,-13.049562
1.453E+11,-13.086232
1.454E+11,-13.179223
1.455E+11,-12.945311
1.456E+11,-12.945449
1.457E+11,-13.0025
1.458E+11,-12.833516
1.459E+11,-12.759929
1.46E+11,-12.800624
1.461E+11,-12.733557
1.462E+11,-12.757257
1.463E+11,-12.813111
1.464E+11,-12.723036
1.465E+11,-12.766936
1.466E+11,-12.865734
1.467E+11,-12.837835
1.468E+11,-12.74898
1.469E+11,-12.687668
1.47E+11,-12.783758
1.471E+11,-12.700559
1.472E+11,-12.753843
1.473E+11,-12.691305
1.474E+11,-12.775152
1.475E+11,-12.784058
1.476E+11,-12.786119
1.477E+11,-12.791295
1.478E+11,-12.827158
1.479E+11,-12.813643
1.48E+11,-12.817605
1.481E+11,-12.843823
1.482E+11,-12.897149
1.483E+11,-12.810866
1.484E+11,-12.835549
1.485E+11,-12.938723
1.486E+11,-12.890514
1.487E+11,-12.912621
1.488E+11,-12.919749
1.489E+11,-12.86485
1.49E+11,-12.925258
1.491E+11,-12.877913
1.492E+11,-12.909274
1.493E+11,-12.951527
1.494E+11,-12.987024
1.495E+11,-12.995634
1.496E+11,-13.083261
1.497E+11,-13.029548
1.498E+11,-13.084556
1.499E+11,-13.085148
1.5E+11,-13.101935
1.501E+11,-13.164579
1.502E+11,-13.229797
1.503E+11,-13.091287
1.504E+11,-13.167626
1.505E+11,-13.08858
1.506E+11,-13.077897
1.507E+11,-13.102699
1.508E+11,-13.059836
1.509E+11,-13.051291
1.51E+11,-13.075977
1.511E+11,-13.104934
1.512E+11,-13.090881
1.513E+11,-13.073913
1.514E+11,-13.095786
1.515E+11,-13.109423
1.516E+11,-13.124667
1.517E+11,-13.053909
1.518E+11,-13.049966
1.519E+11,-13.123368
1.52E+11,-13.101982
1.521E+11,-13.082183
1.522E+11,-13.139258
1.523E+11,-13.166715
1.524E+11,-13.14211
1.525E+11,-13.048199
1.526E+11,-13.14585
1.527E+11,-13.226589
1.528E+11,-13.180743
1.529E+11,-13.225105
1.53E+11,-13.196755
1.531E+11,-13.178913
1.532E+11,-13.128414
1.533E+11,-13.155427
1.534E+11,-13.241126
1.535E+11,-13.055429
1.536E+11,-13.169412
1.537E+11,-13.173521
1.538E+11,-13.121168
1.539E+11,-13.130808
1.54E+11,-13.15405
1.541E+11,-13.122905
1.542E+11,-13.144669
1.543E+11,-13.15235
1.544E+11,-13.235913
1.545E+11,-13.206829
1.546E+11,-13.208232
1.547E+11,-13.225148
1.548E+11,-13.290787
1.549E+11,-13.325871
1.55E+11,-13.359644
1.551E+11,-13.370449
1.552E+11,-13.378108
1.553E+11,-13.417483
1.554E+11,-13.394234
1.555E+11,-13.419533
1.556E+11,-13.390612
1.557E+11,-13.410121
1.558E+11,-13.432832
1.559E+11,-13.438322
1.56E+11,-13.410162
1.561E+11,-13.40922
1.562E+11,-13.390666
1.563E+11,-13.427545
1.564E+11,-13.42799
1.565E+11,-13.343836
1.566E+11,-13.366086
1.567E+11,-13.333286
1.568E+11,-13.29609
1.569E+11,-13.359874
1.57E+11,-13.329722
1.571E+11,-13.34464
1.572E+11,-13.405926
1.573E+11,-13.316386
1.574E+11,-13.27454
1.575E+11,-13.30842
1.576E+11,-13.214739
1.577E+11,-13.280235
1.578E+11,-13.285027
1.579E+11,-13.243573
1.58E+11,-13.250727
1.581E+11,-13.326364
1.582E+11,-13.217199
1.583E+11,-13.268361
1.584E+11,-13.269487
1.585E+11,-13.257315
1.586E+11,-13.240882
1.587E+11,-13.255587
1.588E+11,-13.213412
1.589E+11,-13.220895
1.59E+11,-13.285715
1.591E+11,-13.18859
1.592E+11,-13.246623
1.593E+11,-13.260564
1.594E+11,-13.209791
1.595E+11,-13.250266
1.596E+11,-13.224258
1.597E+11,-13.233248
1.598E+11,-13.270204
1.599E+11,-13.245674
1.6E+11,-13.244966
1.601E+11,-13.234349
1.602E+11,-13.272092
1.603E+11,-13.250045
1.604E+11,-13.233676
1.605E+11,-13.257066
1.606E+11,-13.272428
1.607E+11,-13.22773
1.608E+11,-13.214622
1.609E+11,-13.247046
1.61E+11,-13.273258
