freq,S12
1.492E+11,-25.215168
1.493E+11,-25.162683
1.494E+11,-25.11985
1.495E+11,-25.132959
1.496E+11,-25.078827
1.497E+11,-24.989746
1.498E+11,-25.055288
1.499E+11,-25.002062
1.5E+11,-24.985088
1.501E+11,-25.00812
1.502E+11,-25.008558
1.503E+11,-24.919474
1.504E+11,-24.968618
1.505E+11,-24.905697
1.506E+11,-24.85277
1.507E+11,-24.867931
1.508E+11,-24.84457
1.509E+11,-24.837511
1.51E+11,-24.807673
1.511E+11,-24.845591
1.512E+11,-24.781612
1.513E+11,-24.751268
1.514E+11,-24.802992
1.515E+11,-24.802162
1.516E+11,-24.77417
1.517E+11,-24.665894
1.518E+11,-24.69788
1.519E+11,-24.827702
1.52E+11,-24.71711
1.521E+11,-24.695658
1.522E+11,-24.814123
1.523E+11,-24.768276
1.524E+11,-24.722471
1.525E+11,-24.64719
1.526E+11,-24.715639
1.527E+11,-24.77317
1.528E+11,-24.739384
1.529E+11,-24.770868
1.53E+11,-24.689829
1.531E+11,-24.717077
1.532E+11,-24.641115
1.533E+11,-24.565033
1.534E+11,-24.715002
1.535E+11,-24.535923
1.536E+11,-24.5756
1.537E+11,-24.61059
1.538E+11,-24.579233
1.539E+11,-24.577023
1.54E+11,-24.629911
1.541E+11,-24.609238
1.542E+11,-24.665728
1.543E+11,-24.68516
1.544E+11,-24.748882
1.545E+11,-24.775942
1.546E+11,-24.744791
1.547E+11,-24.773994
1.548E+11,-24.812935
1.549E+11,-24.852184
1.55E+11,-24.836685
1.551E+11,-24.854877
1.552E+11,-24.788607
1.553E+11,-24.830709
1.554E+11,-24.832762
1.555E+11,-24.85643
1.556E+11,-24.820169
1.557E+11,-24.893948
1.558E+11,-24.854029
1.559E+11,-24.842249
1.56E+11,-24.890263
1.561E+11,-24.958599
1.562E+11,-24.930859
1.563E+11,-25.000521
1.564E+11,-25.023605
1.565E+11,-24.935278
1.566E+11,-24.923962
1.567E+11,-24.946367
1.568E+11,-24.849953
1.569E+11,-24.918194
1.57E+11,-24.917622
1.571E+11,-24.910866
1.572E+11,-24.961823
1.573E+11,-24.899361
1.574E+11,-24.90023
1.575E+11,-24.92346
1.576E+11,-24.882786
1.577E+11,-24.992777
1.578E+11,-25.01158
1.579E+11,-24.97279
1.58E+11,-25.031612
1.581E+11,-25.204105
1.582E+11,-25.066378
1.583E+11,-25.155188
1.584E+11,-25.181492
1.585E+11,-25.233002
1.586E+11,-25.232407
1.587E+11,-25.288319
1.588E+11,-25.300875
1.589E+11,-25.327961
1.59E+11,-25.380535
1.591E+11,-25.376936
1.592E+11,-25.437395
1.593E+11,-25.483215
1.594E+11,-25.494755
1.595E+11,-25.564278
1.596E+11,-25.56743
1.597E+11,-25.664715
1.598E+11,-25.742512
1.599E+11,-25.779697
1.6E+11,-25.837498
1.601E+11,-25.875937
1.602E+11,-25.884819
1.603E+11,-25.860147
1.604E+11,-25.953335
1.605E+11,-25.996626
1.606E+11,-25.995522
1.607E+11,-25.994835
1.608E+11,-26.042439
1.609E+11,-26.083973
1.61E+11,-25.944611
1.611E+11,-25.892405
1.612E+11,-25.956076
1.613E+11,-25.949554
1.614E+11,-25.89477
1.615E+11,-25.885637
1.616E+11,-25.85751
1.617E+11,-25.75856
1.618E+11,-25.788433
1.619E+11,-25.771271
1.62E+11,-25.695459
1.621E+11,-25.732687
1.622E+11,-25.809639
1.623E+11,-25.729881
1.624E+11,-25.701834
1.625E+11,-25.67683
1.626E+11,-25.659027
1.627E+11,-25.694567
1.628E+11,-25.758774
1.629E+11,-25.709366
1.63E+11,-25.58061
1.631E+11,-25.567631
1.632E+11,-25.588413
1.633E+11,-25.695955
1.634E+11,-25.582914
1.635E+11,-25.609894
1.636E+11,-25.541918
1.637E+11,-25.636761
1.638E+11,-25.699144
1.639E+11,-25.575758
1.64E+11,-25.622366
1.641E+11,-25.583731
1.642E+11,-25.656477
1.643E+11,-25.574274
1.644E+11,-25.4662
1.645E+11,-25.553608
1.646E+11,-25.6481
1.647E+11,-25.6388
1.648E+11,-25.66028
1.649E+11,-25.606903
1.65E+11,-25.581606
1.651E+11,-25.579086
1.652E+11,-25.65435
1.653E+11,-25.66684
1.654E+11,-25.634506
1.655E+11,-25.612669
1.656E+11,-25.679213
1.657E+11,-25.679775
1.658E+11,-25.544258
1.659E+11,-25.59408
1.66E+11,-25.597153
1.661E+11,-25.675428
1.662E+11,-25.657436
1.663E+11,-25.546164
1.664E+11,-25.635019
1.665E+11,-25.563368
1.666E+11,-25.614166
1.667E+11,-25.608925
1.668E+11,-25.659595
1.669E+11,-25.557123
1.67E+11,-25.549284
1.671E+11,-25.681894
1.672E+11,-25.595781
1.673E+11,-25.556293
1.674E+11,-25.514196
1.675E+11,-25.552961
1.676E+11,-25.558079
1.677E+11,-25.605238
1.678E+11,-25.658272
1.679E+11,-25.695953
1.68E+11,-25.668285
1.681E+11,-25.615889
1.682E+11,-25.633713
1.683E+11,-25.578592
1.684E+11,-25.699986
1.685E+11,-25.752676
1.686E+11,-25.677784
1.687E+11,-25.688437
1.688E+11,-25.685852
1.689E+11,-25.643816
