"freq
References : ['OE_gain_smooth','OE_gain_240cm']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","OE_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","OE_gain_240cm
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
135.40,5.82989,4.91897
135.45,5.83783,4.93336
135.50,5.84576,4.94657
135.55,5.85367,4.95764
135.60,5.86157,4.97225
135.65,5.86944,4.99236
135.70,5.87728,5.01257
135.75,5.8851,5.0397
135.80,5.89289,5.06583
135.85,5.90065,5.09017
135.90,5.90838,5.11237
135.95,5.91607,5.12628
136.00,5.92372,5.13737
136.05,5.93134,5.14497
136.10,5.93891,5.15158
136.15,5.94645,5.16739
136.20,5.95395,5.18906
136.25,5.96141,5.21754
136.30,5.96884,5.24163
136.35,5.97622,5.25844
136.40,5.98357,5.27472
136.45,5.99088,5.28502
136.50,5.99816,5.29286
136.55,6.00541,5.3024
136.60,6.01262,5.314
136.65,6.01979,5.33535
136.70,6.02694,5.35646
136.75,6.03405,5.37834
136.80,6.04113,5.39936
136.85,6.04818,5.414
136.90,6.05519,5.42859
136.95,6.06218,5.44078
137.00,6.06913,5.45097
137.05,6.07606,5.46334
137.10,6.08295,5.47484
137.15,6.08982,5.49277
137.20,6.09665,5.51283
137.25,6.10346,5.53054
137.30,6.11024,5.54825
137.35,6.117,5.56143
137.40,6.12373,5.57285
137.45,6.13043,5.58453
137.50,6.13711,5.59821
137.55,6.14377,5.62024
137.60,6.1504,5.64247
137.65,6.15701,5.66656
137.70,6.1636,5.68993
137.75,6.17017,5.70527
137.80,6.17672,5.7188
137.85,6.18325,5.72922
137.90,6.18976,5.73871
137.95,6.19625,5.75565
138.00,6.20272,5.77302
138.05,6.20918,5.79422
138.10,6.21562,5.8136
138.15,6.22205,5.82662
138.20,6.22846,5.83759
138.25,6.23485,5.84292
138.30,6.24123,5.84565
138.35,6.24759,5.84997
138.40,6.25394,5.85915
138.45,6.26028,5.87995
138.50,6.26661,5.90031
138.55,6.27292,5.91874
138.60,6.27922,5.93414
138.65,6.28551,5.9429
138.70,6.29179,5.95049
138.75,6.29805,5.9542
138.80,6.30431,5.95739
138.85,6.31055,5.97056
138.90,6.31679,5.98857
138.95,6.32301,6.01001
139.00,6.32922,6.02997
139.05,6.33542,6.04596
139.10,6.34162,6.05879
139.15,6.3478,6.06465
139.20,6.35396,6.06912
139.25,6.36012,6.0755
139.30,6.36627,6.08345
139.35,6.3724,6.10166
139.40,6.37853,6.12162
139.45,6.38464,6.14082
139.50,6.39074,6.16081
139.55,6.39683,6.17584
139.60,6.4029,6.18598
139.65,6.40896,6.19036
139.70,6.41501,6.19475
139.75,6.42105,6.20714
139.80,6.42707,6.22534
139.85,6.43308,6.25089
139.90,6.43907,6.27422
139.95,6.44505,6.29447
140.00,6.45102,6.31312
140.05,6.45697,6.32438
140.10,6.4629,6.334
140.15,6.46882,6.34514
140.20,6.47472,6.35886
140.25,6.48061,6.38001
140.30,6.48647,6.40013
140.35,6.49232,6.42042
140.40,6.49816,6.43903
140.45,6.50397,6.45273
140.50,6.50977,6.46707
140.55,6.51555,6.47718
140.60,6.52131,6.48318
140.65,6.52705,6.49165
140.70,6.53277,6.50158
140.75,6.53848,6.51914
140.80,6.54416,6.53676
140.85,6.54983,6.55059
140.90,6.55547,6.56209
140.95,6.5611,6.56669
141.00,6.5667,6.57073
141.05,6.57229,6.57493
141.10,6.57785,6.57961
141.15,6.58339,6.59386
141.20,6.58891,6.60758
141.25,6.59441,6.61969
141.30,6.59989,6.62917
141.35,6.60535,6.63331
141.40,6.61079,6.63645
141.45,6.6162,6.63455
141.50,6.6216,6.63241
141.55,6.62697,6.63772
141.60,6.63231,6.64664
141.65,6.63764,6.66116
141.70,6.64294,6.67393
141.75,6.64823,6.68453
141.80,6.65349,6.69226
141.85,6.65872,6.69068
141.90,6.66394,6.68521
141.95,6.66913,6.68072
142.00,6.6743,6.67964
142.05,6.67945,6.68805
142.10,6.68457,6.70149
142.15,6.68967,6.71785
142.20,6.69476,6.72973
142.25,6.69981,6.73358
142.30,6.70485,6.73399
142.35,6.70987,6.7298
142.40,6.71486,6.72519
142.45,6.71983,6.72632
142.50,6.72478,6.73121
142.55,6.72971,6.74411
142.60,6.73461,6.75841
142.65,6.7395,6.76991
142.70,6.74436,6.77718
142.75,6.7492,6.77456
142.80,6.75402,6.76908
142.85,6.75882,6.76355
142.90,6.7636,6.759
142.95,6.76835,6.76619
143.00,6.77309,6.77667
143.05,6.7778,6.78849
143.10,6.7825,6.79807
143.15,6.78717,6.80179
143.20,6.79182,6.80498
143.25,6.79646,6.80459
143.30,6.80107,6.80378
143.35,6.80566,6.80773
143.40,6.81024,6.81235
143.45,6.81479,6.82244
143.50,6.81933,6.83165
143.55,6.82384,6.83625
143.60,6.82834,6.83824
143.65,6.83282,6.83542
143.70,6.83728,6.83184
143.75,6.84172,6.82637
143.80,6.84614,6.82134
143.85,6.85055,6.82352
143.90,6.85493,6.82293
143.95,6.8593,6.82379
144.00,6.86366,6.82688
144.05,6.868,6.8272
144.10,6.87232,6.82759
144.15,6.87663,6.82156
144.20,6.88092,6.81192
144.25,6.8852,6.80771
144.30,6.88946,6.80594
144.35,6.89371,6.80933
144.40,6.89794,6.80927
144.45,6.90216,6.8064
144.50,6.90636,6.80337
144.55,6.91055,6.79482
144.60,6.91472,6.78641
144.65,6.91887,6.77509
144.70,6.92301,6.76067
144.75,6.92714,6.75799
144.80,6.93124,6.75869
144.85,6.93533,6.75903
144.90,6.93942,6.75765
144.95,6.94352,6.75225
145.00,6.94778,6.74432
145.05,6.95262,6.73166
145.10,6.95747,6.72013
145.15,6.96234,6.71457
145.20,6.96722,6.71202
145.25,6.97212,6.71679
145.30,6.97705,6.72392
145.35,6.98199,6.72632
145.40,6.98695,6.72292
145.45,6.99194,6.71543
145.50,6.99695,6.70752
145.55,7.00198,6.69566
145.60,7.00704,6.68421
145.65,7.01212,6.68411
145.70,7.01722,6.68837
145.75,7.02235,6.6953
145.80,7.0275,6.69861
145.85,7.03268,6.69564
145.90,7.03788,6.69082
145.95,7.0431,6.6796
146.00,7.04834,6.66597
146.05,7.05361,6.65679
146.10,7.0589,6.65167
146.15,7.06421,6.65541
146.20,7.06954,6.65904
146.25,7.07489,6.66193
146.30,7.08026,6.66535
146.35,7.08564,6.66141
146.40,7.09105,6.65267
146.45,7.09647,6.64141
146.50,7.1019,6.63139
146.55,7.10734,6.63034
146.60,7.1128,6.63111
146.65,7.11827,6.63366
146.70,7.12376,6.63594
146.75,7.12925,6.63522
146.80,7.13475,6.63238
146.85,7.14026,6.62355
146.90,7.14578,6.61519
146.95,7.15131,6.61088
147.00,7.15684,6.60576
147.05,7.16238,6.60732
147.10,7.16793,6.60926
147.15,7.17348,6.60931
147.20,7.17904,6.60946
147.25,7.18459,6.60468
147.30,7.19016,6.59915
147.35,7.19572,6.58966
147.40,7.20129,6.57625
147.45,7.20687,6.5697
147.50,7.21244,6.564
147.55,7.21801,6.5637
147.60,7.22359,6.56364
147.65,7.22916,6.55704
147.70,7.23474,6.54839
147.75,7.24031,6.53482
147.80,7.24588,6.522
147.85,7.25146,6.51401
147.90,7.25703,6.50828
147.95,7.26259,6.51185
148.00,7.26816,6.51413
148.05,7.27373,6.51281
148.10,7.27929,6.50986
148.15,7.28485,6.50169
148.20,7.29042,6.49234
148.25,7.29598,6.48006
148.30,7.30154,6.46743
148.35,7.30709,6.46493
148.40,7.31265,6.46731
148.45,7.31821,6.47418
148.50,7.32377,6.48041
148.55,7.32932,6.47996
148.60,7.33488,6.47695
148.65,7.34044,6.46933
148.70,7.346,6.45888
148.75,7.35156,6.45073
148.80,7.35712,6.44611
148.85,7.36269,6.45435
148.90,7.36826,6.46783
148.95,7.37383,6.47934
149.00,7.37941,6.48512
149.05,7.38499,6.48208
149.10,7.39058,6.47501
149.15,7.39618,6.46626
149.20,7.40178,6.46225
149.25,7.40738,6.4681
149.30,7.413,6.47515
149.35,7.41862,6.48672
149.40,7.42425,6.4996
149.45,7.42989,6.50986
149.50,7.43553,6.51774
149.55,7.44119,6.51751
149.60,7.44686,6.51392
149.65,7.45254,6.51412
149.70,7.45822,6.52138
149.75,7.46392,6.53785
149.80,7.46964,6.5491
149.85,7.47536,6.5584
149.90,7.48109,6.56929
149.95,7.48684,6.57456
150.00,7.4926,6.5765
150.05,7.49837,6.57543
150.10,7.50415,6.5733
150.15,7.50994,6.57876
150.20,7.51574,6.58699
150.25,7.52156,6.59475
150.30,7.52739,6.59779
150.35,7.53322,6.59844
150.40,7.53907,6.60379
150.45,7.54493,6.60724
150.50,7.5508,6.60679
150.55,7.55668,6.60642
150.60,7.56257,6.60963
150.65,7.56846,6.62294
150.70,7.57437,6.63569
150.75,7.58027,6.64624
150.80,7.58619,6.65618
150.85,7.59211,6.66177
150.90,7.59804,6.6664
150.95,7.60396,6.66804
151.00,7.6099,6.67088
151.05,7.61583,6.68417
151.10,7.62176,6.70106
151.15,7.6277,6.72127
151.20,7.63363,6.74009
151.25,7.63956,6.75396
151.30,7.64549,6.76391
151.35,7.65142,6.76762
151.40,7.65734,6.77287
151.45,7.66326,6.78293
151.50,7.66917,6.79553
151.55,7.67508,6.81722
151.60,7.68097,6.84035
151.65,7.68687,6.86235
151.70,7.69275,6.88322
151.75,7.69862,6.89823
151.80,7.70449,6.91006
151.85,7.71034,6.91769
151.90,7.71618,6.92459
151.95,7.72202,6.9402
152.00,7.72784,6.96123
152.05,7.73365,6.98896
152.10,7.73945,7.0154
152.15,7.74523,7.03514
152.20,7.75101,7.05087
152.25,7.75677,7.06007
152.30,7.76252,7.0674
152.35,7.76825,7.07796
152.40,7.77397,7.09508
152.45,7.77968,7.12385
152.50,7.78538,7.1535
152.55,7.79106,7.18295
152.60,7.79672,7.2076
152.65,7.80236,7.22378
152.70,7.80799,7.2388
152.75,7.81359,7.25173
152.80,7.81918,7.26513
152.85,7.82475,7.28561
152.90,7.8303,7.3098
152.95,7.83583,7.33872
153.00,7.84135,7.3655
153.05,7.84685,7.38874
153.10,7.85233,7.41142
153.15,7.85779,7.42936
153.20,7.86324,7.4461
153.25,7.86867,7.46352
153.30,7.87408,7.48335
153.35,7.87948,7.51201
153.40,7.88487,7.53915
153.45,7.89024,7.56444
153.50,7.8956,7.58808
153.55,7.90094,7.60682
153.60,7.90627,7.62708
153.65,7.9116,7.64608
153.70,7.91691,7.66546
153.75,7.92221,7.69158
153.80,7.9275,7.71939
153.85,7.93278,7.75132
153.90,7.93806,7.7781
153.95,7.94332,7.79888
154.00,7.94858,7.82093
154.05,7.95382,7.84061
154.10,7.95906,7.86152
154.15,7.9643,7.88472
154.20,7.96953,7.90775
154.25,7.97475,7.93557
154.30,7.97996,7.96409
154.35,7.98517,7.99296
154.40,7.99038,8.01875
154.45,7.99558,8.03915
154.50,8.00077,8.0583
154.55,8.00597,8.07414
154.60,8.01116,8.09238
154.65,8.01634,8.11751
154.70,8.02153,8.14258
154.75,8.02671,8.17146
154.80,8.03189,8.20266
154.85,8.03706,8.23197
154.90,8.04224,8.25709
154.95,8.04741,8.27506
155.00,8.05259,8.29287
155.05,8.05776,8.31213
155.10,8.06293,8.33235
155.15,8.0681,8.3614
155.20,8.07327,8.39036
155.25,8.07844,8.41886
155.30,8.08361,8.44991
155.35,8.08878,8.47845
155.40,8.09395,8.5027
155.45,8.09912,8.51853
155.50,8.10429,8.53168
155.55,8.10946,8.55167
155.60,8.11463,8.57448
155.65,8.1198,8.60339
155.70,8.12498,8.6319
155.75,8.13015,8.65772
155.80,8.13532,8.68295
155.85,8.1405,8.70143
155.90,8.14567,8.71649
155.95,8.15085,8.73235
156.00,8.15602,8.75101
156.05,8.1612,8.77584
156.10,8.16638,8.7983
156.15,8.17156,8.81995
156.20,8.17674,8.84089
156.25,8.18192,8.85793
156.30,8.18711,8.87506
156.35,8.19229,8.8884
156.40,8.19748,8.89995
156.45,8.20267,8.91776
156.50,8.20786,8.93905
156.55,8.21305,8.96452
156.60,8.21824,8.98768
156.65,8.22344,9.00721
156.70,8.22864,9.02588
156.75,8.23384,9.03837
156.80,8.23905,9.04912
156.85,8.24426,9.0613
156.90,8.24948,9.07586
156.95,8.25469,9.09888
157.00,8.25992,9.12107
157.05,8.26515,9.1419
157.10,8.27038,9.16001
157.15,8.27562,9.17357
157.20,8.28087,9.18865
157.25,8.28612,9.20145
157.30,8.29138,9.21421
157.35,8.29665,9.23204
157.40,8.30192,9.25004
157.45,8.30721,9.27081
157.50,8.31251,9.29024
157.55,8.31781,9.30667
157.60,8.32312,9.32133
157.65,8.32844,9.3314
157.70,8.33376,9.34143
157.75,8.33909,9.35313
157.80,8.34444,9.36744
157.85,8.34979,9.38752
157.90,8.35516,9.40713
157.95,8.36053,9.42749
158.00,8.36593,9.44744
158.05,8.37134,9.46265
158.10,8.37676,9.47497
158.15,8.38221,9.48273
