bitsum (V)_X,bitsum (V)_Y
8.643748113140191e-11,0.0001953125
8.755147418537391e-11,0.0001953125
8.888423577773394e-11,0.0001953125
8.999999999999999e-11,0.0001953125
9.130024974894597e-11,0.0001953125
9.282291301532062e-11,0.0001953125
9.39114565076603e-11,0.0001953125
9.499999999999998e-11,0.0001953125
9.681930545660973e-11,0.0001953125
9.823956725820571e-11,0.0001953125
9.999999999999998e-11,0.0001953125
1.016463552862909e-10,0.0001953125
1.030766285948737e-10,0.0001953125
1.040383142974369e-10,0.0001953125
1.05e-10,0.0001953125
1.06490451051257e-10,0.0001953125
1.075666749936558e-10,0.0001953125
1.087833374968279e-10,0.0001953125
1.1e-10,0.0001953125
1.11209143515255e-10,0.0001953125
1.123422914024075e-10,0.0001953125
1.135182393964e-10,0.0001953125
1.142591196982e-10,0.0001953125
1.15e-10,0.0001953125
1.161953237662145e-10,0.0001953125
1.176244390778007e-10,0.0001953125
1.188122195389003e-10,0.0001953125
1.2e-10,0.0001953125
1.214993686870963e-10,0.0001953125
1.226299283663152e-10,0.0001953125
1.238347814854669e-10,0.0001953125
1.25e-10,0.0001953125
1.261506860948716e-10,0.0001953125
1.274486284721528e-10,0.0001953125
1.287243142360764e-10,0.0001953125
1.293621571180382e-10,0.0001953125
1.3e-10,0.0001953125
1.312756857639236e-10,0.0001953125
1.323591128081625e-10,0.0001953125
1.338625003062778e-10,0.0001953125
1.35e-10,0.0001953125
1.365159591527085e-10,0.0001953125
1.382185504244091e-10,0.0001953125
1.391092752122046e-10,0.0001953125
1.4e-10,0.0001953125
1.411810840835366e-10,0.0001953125
1.422594161618029e-10,0.0001953125
1.43625621131567e-10,0.0001953125
1.443128105657835e-10,0.0001953125
1.45e-10,0.0001953125
1.46374378868433e-10,0.0001953125
1.477546854224797e-10,0.0001953125
1.488773427112399e-10,0.0001953125
1.5e-10,0.0001953125
1.51474947798746e-10,0.0001953125
1.529224833998745e-10,0.0001953125
1.539612416999372e-10,0.0001953125
1.55e-10,0.0001953125
1.566602293281471e-10,0.0001953125
1.58087129670283e-10,0.0001953125
1.6e-10,0.0001953125
1.614477029473961e-10,0.0001953125
1.627945128700494e-10,0.0001953125
1.638972564350247e-10,0.0001953125
1.650000000000001e-10,0.0001953125
1.663812016382545e-10,0.0001953125
1.680844540899962e-10,0.0001953125
1.690422270449982e-10,0.0001953125
1.700000000000001e-10,0.0001953125
1.715268149167817e-10,0.0001953125
1.729220336124104e-10,0.0001953125
1.739610168062052e-10,0.0001953125
1.750000000000001e-10,0.0001953125
1.767087179359359e-10,0.0001953125
1.783111920518475e-10,0.0001953125
1.800000000000001e-10,0.0001953125
1.814035137373354e-10,0.0001953125
1.82734555576793e-10,0.0001953125
1.838672777883965e-10,0.0001953125
1.850000000000001e-10,0.0001953125
1.863634593866326e-10,0.0001953125
1.881703073061728e-10,0.0001953125
1.890851536530864e-10,0.0001953125
1.900000000000001e-10,0.0001953125
1.913794262038823e-10,0.0001953125
1.927010395245976e-10,0.0001953125
1.938505197622989e-10,0.0001953125
1.950000000000001e-10,0.0001953125
1.967680049307835e-10,0.0001953125
1.983446309648459e-10,0.0001953125
1.99172315482423e-10,0.0001953125
2.000000000000001e-10,0.0001953125
2.011013650974702e-10,0.0001953125
2.02480533953137e-10,0.0001953125
2.038750967949294e-10,0.0001953125
2.050000000000001e-10,0.0001953125
2.06683052414223e-10,0.0001953125
2.081321935063585e-10,0.0001953125
2.090660967531793e-10,0.0001953125
2.100000000000001e-10,0.0001953125
2.112383800285778e-10,0.0001953125
2.129395280792232e-10,0.0001953125
2.139697640396117e-10,0.0001953125
2.150000000000001e-10,0.0001953125
2.167807326275196e-10,0.0001953125
2.183449705128955e-10,0.0001953125
2.191724852564478e-10,0.0001953125
2.200000000000001e-10,0.0001953125
2.211633179368324e-10,0.0001953125
