I_DAC_diff (A)_X,I_DAC_diff (A)_Y
3.717033720466143e-10,-0.006491003255026296
3.732251464722293e-10,-0.00649999471325594
3.749999999999997e-10,-0.006508856661504159
3.764367987509913e-10,-0.006514361994163843
3.777191212873806e-10,-0.006523284849802491
3.788595606436901e-10,-0.006530844207266528
3.799999999999997e-10,-0.006537051014545913
3.812746046809675e-10,-0.006533623004024719
3.830123615340815e-10,-0.006524210540009477
3.840061807670406e-10,-0.0065175828552869
3.849999999999997e-10,-0.006513620657428837
3.864511585033836e-10,-0.006505266741328944
3.877284418165825e-10,-0.006496261424244018
3.888642209082911e-10,-0.006488147611464707
3.899999999999996e-10,-0.006490399679772598
3.917442592449422e-10,-0.006498669159984143
3.932596699117056e-10,-0.006510905015145464
3.949999999999996e-10,-0.006516810458471212
3.963668735444789e-10,-0.006528888714311717
3.976522944512937e-10,-0.006539220215888375
3.988261472256466e-10,-0.006549650789462711
3.999999999999996e-10,-0.006552974116375969
4.013430339672429e-10,-0.006538759689394296
4.029525944758044e-10,-0.006517848323597742
4.03976297237902e-10,-0.006508494317033825
4.049999999999996e-10,-0.006499002278789418
4.062615419914809e-10,-0.006489032413486917
4.075643925543313e-10,-0.006474193794210459
4.087821962771654e-10,-0.00646575147783054
4.099999999999996e-10,-0.006467037395264981
4.118071487682762e-10,-0.006498869442848295
4.132374437421311e-10,-0.006519880769594016
4.141187218710653e-10,-0.006529749071530202
4.149999999999995e-10,-0.00653696896602568
4.160677046167124e-10,-0.006537702444200245
4.175313195087708e-10,-0.006540267897715682
4.187702002570055e-10,-0.006541130969158052
4.199999999999995e-10,-0.006534454040986687
4.21640993206527e-10,-0.006529380819884967
4.229738671576573e-10,-0.006523323371159262
4.239869335788284e-10,-0.006520380171287227
4.249999999999995e-10,-0.006514863896810731
4.262159767201198e-10,-0.006499478761436695
4.28263681714059e-10,-0.006476857968922166
4.291318408570293e-10,-0.006475758165970305
4.299999999999995e-10,-0.006479166747959422
4.314844762297742e-10,-0.00649482131366372
4.329501154932178e-10,-0.006504828079456136
4.339750577466086e-10,-0.006510059746555984
4.349999999999995e-10,-0.006514714304737854
4.36234188400629e-10,-0.006524909430601738
4.377151096418093e-10,-0.006534216276356709
4.389485032211699e-10,-0.006537445889265801
4.399999999999995e-10,-0.006534153940183108
4.416396298711495e-10,-0.006519073486659088
4.430554776193208e-10,-0.006506495693825906
4.449999999999994e-10,-0.00648731890649522
4.464370550756148e-10,-0.006483707144940393
4.485217456212747e-10,-0.006485933166275926
4.499999999999994e-10,-0.00650112143670441
4.519924338899434e-10,-0.006505762044513712
4.534962169449714e-10,-0.006505528462407824
4.542481084724854e-10,-0.006504030158309236
4.549999999999994e-10,-0.006503617922456907
4.562495757057985e-10,-0.006517579921101768
4.574926766373258e-10,-0.006530117110605333
4.586522867834461e-10,-0.006536150261152589
4.599999999999994e-10,-0.006533771273291487
4.614875601285669e-10,-0.006523142545408667
4.628143425537562e-10,-0.006515744685256579
4.640340079461046e-10,-0.006509068604419531
4.649999999999994e-10,-0.006500344740126433
4.663902191986115e-10,-0.006483802335943785
4.680377591639012e-10,-0.006474569575027664
4.690188795819502e-10,-0.006479316684115338
4.699999999999994e-10,-0.006488854216496536
4.712870472328321e-10,-0.006497422981785364
4.728122968267889e-10,-0.006502519618719471
4.740199293137507e-10,-0.006505662152335556
4.749999999999994e-10,-0.006510463751949724
4.765264676220215e-10,-0.006521565917834395
4.777199915705273e-10,-0.006525497090444258
4.790808790586671e-10,-0.006521628985973611
4.799999999999994e-10,-0.006515212690942076
4.813141486564807e-10,-0.006511185252345768
4.829864874266715e-10,-0.006506129123322128
4.839932437133354e-10,-0.006501162189778522
4.849999999999994e-10,-0.006492079030398094
4.869734392388902e-10,-0.006475083419069889
4.884404343288429e-10,-0.006477768675494896
4.899999999999993e-10,-0.006491465473629283
4.915341823467157e-10,-0.006501665812956881
4.930153457568133e-10,-0.006506378416387786
4.940076728784063e-10,-0.006509775289702806
4.949999999999993e-10,-0.006515606856616872
4.965388495659257e-10,-0.006526244560864204
4.976608962670281e-10,-0.006528148924257095
4.988304481335136e-10,-0.006523568725026279
4.999999999999993e-10,-0.006516483224447138
5.012499248850291e-10,-0.006511031253281997
5.033069636621128e-10,-0.006492496445206787
5.041534818310561e-10,-0.006486645996146775
5.049999999999993e-10,-0.006477778412194253
5.066283070103933e-10,-0.006474878997367651
5.084402074674187e-10,-0.006482237843729386
5.099999999999993e-10,-0.006500775917659941
5.119826454764927e-10,-0.006516157112079481
5.134025916893445e-10,-0.006523455845077929
5.142012958446719e-10,-0.006524647872723704
5.149999999999993e-10,-0.006529444123008724
5.165898841819252e-10,-0.006528330606960437
5.177585955330246e-10,-0.006526659239286003
5.188792977665119e-10,-0.006517533403157159
5.199999999999992e-10,-0.006508030171111028
5.213015181219926e-10,-0.006503078681959826
5.23157009071413e-10,-0.006497736425472011
5.240785045357062e-10,-0.006491981572372615
